Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
921,471.1710,959.3350,585.5790,-225.3430,-737.0970,-925.0420,-1788.5320,-1905.0770,-2775.7770,-3975.7610,-6001.4260,-9801.5760
5500,536.9990,1132.9360,1024.9460,493.8980,261.7070,-430.6840,-718.6320,-1318.6960,-2368.7410,-2130.6590,-1760.9660,-993.6630
398,596.5030,1043.8860,727.3960,172.7100,-108.7820,-387.2050,-411.4620,-594.9060,-1509.2010,-1320.4420,-220.9750,6.9900
417,-12.5210,35.0750,107.5750,108.2870,9.5840,-23.7150,-71.6970,-155.2170,-273.0000,-27.0000,-249.3130,-131.5930
762,-18.2620,-16.1610,24.3710,28.5480,16.9080,-14.1360,-37.2190,-83.1840,-296.1910,-333.2220,-421.7230,-296.0750
795,-28.7390,33.0450,29.5760,30.8480,16.3850,-5.6720,-34.2350,-34.6680,50.0010,-49.9950,-113.4980,-54.4990
860,0.0180,37.0910,136.0280,153.5050,327.6120,0.0440,-164.0190,-450.7210,-340.3500,-400.0000,-755.4570,-518.4860
5501,-65.8280,-173.6010,-439.3670,-719.2410,-998.8040,-494.3580,-1069.9000,-586.3810,-407.0360,-1845.1020,-4240.4600,-8807.9130
4,0.0000,0.0000,0.0000,0.0000,0.0000,-1117.4610,-3418.3020,-1484.1600,4200.0000,-375.8700,965.6640,-381.0300
50,-5.6580,-0.3560,-139.1120,-212.2030,-3028.2540,-1101.4920,-935.7110,-289.3650,-1033.7190,-956.1230,-1493.3290,-2908.0150
64,10.0000,5.0000,5.0000,10.0000,20.0000,15.0000,0.7970,1.5950,-101.0440,0.1430,34.9760,16.8290
356,-3.7460,-4.2480,-86.0680,-296.3320,2218.3070,868.1000,361.6620,-13.5690,-127.4200,-512.7890,-1923.2450,-2999.9980
364,-1.0880,-1.9470,-7.8380,51.7550,77.6330,419.9970,2073.0690,1344.3750,-1485.0010,687.0590,125.5820,-185.6500
