Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
508,-0.7010,-0.6430,-0.5830,-0.5240,-0.4680,1.5350,-5.8610,-19.3440,8.8190,0.8790,-0.2050,-0.1810
638,2.0530,-2.5570,-1.4560,5.7340,-9.9370,-7.0230,1.5040,-0.1900,3.5670,3.4520,0.5770,0.0000
646,0.0000,0.0000,-0.0110,0.0010,-0.0010,-0.0010,-3.9030,0.4650,-47.7230,53.1440,0.1370,0.3050
706,0.0000,-0.0780,-0.0700,0.0880,0.0000,60.1720,-26.0030,-19.5100,-27.2290,-2.8730,-5.0760,-6.7830
800,0.0000,0.0000,3.3830,1.2220,-4.7290,-2.8300,-1.6800,2.8720,1.2460,-0.4060,-0.0380,-0.8730
834,0.0000,0.0000,0.4960,0.5700,1.6090,-0.2570,0.3670,0.5760,4.2670,-1.2870,-1.8940,-1.4340
894,0.0000,0.0000,0.1520,-0.2180,1.2000,0.1340,1.5320,0.7810,-0.2670,1.7460,-1.5090,-1.3850
716,-0.2020,-0.2880,-0.4890,-1.1630,-1.0670,-3.0170,3.5060,2.4940,-3.4630,-3.3070,-11.1640,-14.3190
911,-0.0670,-0.0390,-0.0860,0.0840,-0.7550,-0.0840,-0.5960,-0.1720,3.6110,-3.2750,0.2050,0.0630
24,0.0000,-3.1560,-5.1950,-7.0850,-2.8160,0.3910,5.6070,-3.0970,2.5450,-1.9410,2.2650,0.9220
120,0.0000,0.0000,0.0000,0.1240,0.3000,1.3920,-1.0100,0.4360,-0.0810,-0.0030,-0.1460,-0.2050
140,0.0000,0.0000,1.5140,1.5120,-2.0880,-0.0930,3.2790,-2.9480,2.3880,0.6430,-2.3320,0.2380
148,0.0000,-0.1780,-0.3200,-2.3590,-2.5250,-8.0990,-5.4090,0.0510,-0.3190,1.8250,4.8640,-1.4280
178,0.0000,0.0000,0.0000,0.0800,0.9610,-0.8840,0.2160,0.1020,1.2130,2.4060,-0.7950,2.6330
180,0.0000,1.0360,1.4910,2.5590,0.2520,0.8000,-2.3900,0.4430,5.9770,-6.4080,-0.9030,-0.0780
226,0.0000,0.0000,0.0000,0.0000,-52.9150,-26.1540,48.7610,8.7400,7.3490,8.3080,8.8640,6.1160
266,0.0000,0.0000,0.0000,0.0000,7.1110,6.2590,5.4180,4.6430,3.9680,2.4760,1.4680,0.6950
678,-30.8480,-11.3670,-28.4160,-4.0510,-5.7500,-1.7010,-10.4560,-5.7920,-7.7740,-7.2280,-10.1420,-8.1710
912,-1.7510,-1.9660,-3.1130,-1.9380,-2.3620,-0.9870,-0.1250,-2.1230,-2.3810,-2.2060,-1.8120,-1.0160
12,-6.2640,-8.4450,-11.2310,-3.1180,-2.0670,0.0710,0.8150,-0.5910,-0.3730,-0.9520,-0.8830,-0.8190
818,-0.4360,-0.3830,-0.3360,-1.4160,-3.2970,-3.9890,-2.9140,-2.4250,-3.7310,-2.9160,-1.0460,-0.8930
434,-7.4940,7.4380,6.1760,8.3290,8.1320,8.5900,10.7370,-0.9920,-0.8910,-0.8110,-0.7380,-0.6700
504,0.0150,-0.2380,-3.2920,-3.0420,-5.4330,-1.8620,-0.4780,-2.1240,-3.4810,-3.5890,-4.1500,-4.3310
736,-0.2050,-0.1830,-0.9910,-1.1750,2.2050,3.5300,3.8110,-3.6690,-1.1890,-1.4110,-2.9300,0.6590
788,-5.9160,-8.5450,-10.1020,-5.9250,-4.7710,-0.5520,-0.6960,-0.6480,-1.0090,-1.2100,-1.6650,-0.3920
732,64.0680,61.4780,59.7060,53.7500,-29.5220,108.0450,12.2180,10.5830,8.6700,18.5590,47.6310,19.5680
913,0.0670,-0.3850,0.4320,1.4100,1.4980,0.1940,0.7020,-0.3810,3.7830,0.9180,2.4070,2.4530
72,-2.2670,-8.0510,-5.3590,-1.8690,0.6140,3.2660,0.1100,0.9050,2.4080,2.9370,2.3420,1.9300
426,-5.2570,-6.3440,-5.6010,-4.5560,-4.5610,-0.9350,-2.0380,-6.5150,-6.5980,-2.2220,-2.6700,-1.8880
516,0.0000,0.0000,0.0000,-0.2380,-0.6700,-9.2960,-5.3890,11.6640,3.0650,4.0030,-0.8240,-0.1370
710,0.4580,0.1480,1.0260,1.9610,1.9710,0.5480,1.1670,-0.7030,4.6030,0.9270,3.0250,2.8590
748,-1.8990,-1.2060,-5.3500,-4.5250,-3.2710,-3.3820,-4.4300,4.3730,-8.3750,-2.3680,-8.4980,-1.0480
914,0.1370,0.1060,-0.2860,-0.4800,-0.7090,-0.4630,-0.9140,-0.9200,0.0820,-0.3170,-0.7370,-0.7170
204,-2.0190,-1.9480,-1.9350,-1.7420,-1.6480,-1.1420,-0.5600,-0.3910,4.0290,-0.9630,2.7930,1.2130
854,-4.6340,-4.3400,-5.6940,-5.2190,-5.5630,-6.3720,-5.6530,-4.2000,-2.9980,-2.3930,-1.8870,-1.6300
132,-8.5060,-10.8180,-0.2370,1.4500,-2.4250,-37.3510,-12.9270,-20.1050,-3.4320,-4.5360,-4.8020,-7.1340
384,4.8670,5.9560,9.9230,10.1620,11.4900,11.0020,9.0550,5.6490,5.5160,1.1520,-5.8960,-3.8140
270,11.7150,21.4370,-1.6530,0.0540,3.7690,-1.1580,5.5710,11.1590,-2.8300,-4.3610,-1.9630,-1.7010
288,5.5890,4.5450,0.0000,-8.7810,-3.5260,-10.8230,3.4630,-0.4340,0.5030,-0.5680,0.1150,-0.4450
324,0.0000,-0.5810,-0.7530,-0.9030,-13.0320,-16.2420,-1.6290,6.0830,28.5210,-5.7070,-9.7780,-6.3080
624,-3.6900,-3.4440,-13.4340,-9.0720,-0.2370,16.4840,-4.5550,-4.1270,-3.7350,-3.3810,-3.0670,-1.3870
430,-0.0030,1.5110,1.3450,1.6310,1.4200,1.3350,0.0000,-33.9140,-26.8860,36.6820,-4.8200,16.7210
466,-1.4650,-1.9290,-2.5910,-3.3780,-3.0250,-5.0540,-5.7180,-11.5250,-3.7520,-2.6880,-1.0970,-1.4130
478,-0.3710,-0.4000,-0.3960,-0.5210,-0.9730,-1.3710,-1.9720,-3.2380,-1.3710,0.8020,2.1090,0.6090
562,0.3780,-1.6520,-0.6580,-0.5670,-0.5830,-0.6630,-2.9470,-2.5300,-0.0630,0.4790,-0.4770,-0.4000
566,0.0170,0.0120,0.0040,-0.1600,-0.1260,2.4300,-1.6650,-0.1990,-0.1850,-0.1630,-0.2580,-0.4020
686,2.5910,3.0740,3.0520,4.5530,2.9540,-5.2860,-2.9230,-1.4320,-1.4350,-3.7570,-2.3730,-2.2800
694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3360,-22.8430,-7.4610,21.5130,2.1780
768,-6.5390,-7.5130,-9.5060,14.6350,-4.4670,-7.9260,3.4320,0.0590,-6.3060,5.7530,-0.1400,-0.1900
935,0.0330,0.1690,-0.0090,0.0060,-0.1610,-0.1770,-0.0290,-0.1600,-0.3760,-0.3860,-0.4280,-0.3870
906,-0.1690,0.0280,-0.1490,0.1740,-0.2060,0.0030,0.0530,-0.0660,-0.1570,-0.1150,-0.2890,-0.1580
156,-0.0400,-0.0030,-0.3090,-0.0030,-0.2570,-0.0900,-0.0510,-0.0430,-0.1400,-0.1090,-0.3570,-0.2850
344,14.8910,12.7450,13.0560,-9.1650,3.2000,17.0900,3.1510,5.7160,5.2220,17.0430,-0.3310,5.0820
446,-39.5020,-36.3870,20.7300,31.3070,-5.8650,-5.1660,23.8040,22.4820,9.6190,9.5190,18.6110,19.7550
408,-14.1680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
392,0.1280,-1.0360,0.4410,1.7470,0.8520,0.0790,0.3590,-1.0380,0.7300,0.0280,0.0830,0.4270
496,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.8630,-4.8950,-1.2100,-1.1310
410,0.0140,3.8040,-2.1050,-2.6010,-2.7190,-0.9150,1.6260,2.0840,-2.8900,-2.2710,-0.4230,-0.1260
158,0.4760,-0.0160,4.6530,6.9590,-0.3310,1.9720,-0.6630,-2.0250,-1.7070,-1.6590,1.1940,1.8000
921,0.1770,0.3260,0.1780,-0.0610,-0.1790,-0.1990,-0.3410,-0.3230,-0.4220,-0.5490,-0.7600,-1.1510
5500,5.6840,10.1400,7.6600,3.1710,1.4840,-2.1890,-3.3010,-5.4850,-9.1270,-7.8360,-6.2490,-3.3660
398,16.2370,23.2130,13.2830,2.7610,-1.5970,-5.3310,-5.3610,-7.3650,-18.6000,-17.1030,-2.9340,0.0900
417,-1.3750,3.4430,9.0670,7.8210,0.6120,-1.3700,-3.7530,-7.3840,-12.1510,-1.1310,-9.9750,-5.0730
762,-2.2040,-1.6730,2.1220,2.0940,1.0590,-0.7650,-1.7470,-3.3710,-10.6940,-11.1560,-13.3600,-8.8830
795,-4.4790,4.4820,3.3960,3.0250,1.3920,-0.4220,-2.2480,-2.0100,2.5460,-2.3010,-4.9080,-2.2270
860,0.0010,0.9380,2.8950,2.7650,5.0490,0.0010,-1.9230,-4.6600,-3.1340,-3.3550,-5.9580,-3.8840
5501,-0.0260,-0.0610,-0.1390,-0.2040,-0.2530,-0.1110,-0.2130,-0.1040,-0.0640,-0.2650,-0.5570,-1.0710
4,0.0000,0.0000,0.0000,0.0000,0.0000,-16.1420,-50.9980,-23.1380,51.1850,-3.5250,7.6530,-2.5820
50,-0.0280,-0.0020,-0.5160,-0.6810,-8.8120,-2.9140,-2.1650,-0.5860,-1.8560,-1.5480,-2.2110,-4.0210
64,10.9350,4.7240,4.1280,7.1370,12.0210,7.5540,0.3460,0.6080,-37.5250,0.0520,11.3690,4.8600
356,-0.0020,-0.0020,-0.0360,-0.1130,0.7550,0.2630,0.0970,-0.0030,-0.0280,-0.1020,-0.3510,-0.5070
364,-0.0120,-0.0190,-0.0670,0.3850,0.5050,2.3540,9.7470,5.3050,-5.1820,2.1970,0.3720,-0.5170
462,-0.0570,-0.2730,-1.2040,-5.3120,3.8380,0.0000,0.0000,-2.5650,-2.6250,-0.8430,-0.0740,-0.0350
524,-0.9450,-1.7180,-1.3690,-0.3730,-0.0920,-0.5770,-1.2650,-1.6100,-0.9930,-0.8620,-0.7740,-0.6990
586,-0.0420,-0.0770,-0.3810,-0.7540,-0.4320,1.8800,3.0580,0.2700,-2.5080,-0.2760,-2.3090,-2.4080
144,-0.3830,-1.5790,-0.8950,-0.6480,-2.2000,-3.2880,-5.0550,-1.6390,-2.8770,-4.3270,-1.0370,-2.4570
920,0.0320,0.0710,-0.0550,-0.2640,-0.1920,-1.0440,0.0100,0.1000,-0.9820,-0.2830,-0.8130,-0.8790
96,18.5690,13.7330,10.7460,17.5780,13.6560,8.6150,3.5680,2.1990,3.0960,3.5260,2.0400,1.8370
116,-0.0140,-0.0050,-0.0190,-0.1380,-12.8160,-10.8510,0.0000,3.4380,3.0070,1.5840,-1.8320,-3.7090
360,-0.0150,-0.0010,-0.2110,-0.1550,-0.0180,-0.0890,-0.0980,-0.2990,-0.7500,-0.7520,-1.0750,-1.1070
